date | value
2011-07-10 | 2
2011-07-13 | 614.22
2011-07-16 | 554
2011-07-19 | 329.83
2011-07-22 | 9
2011-07-25 | 80.52
2011-07-28 | 758
2011-07-31 | 586.76
2011-08-03 | 149
2011-08-06 | 416.16
2011-08-09 | 971
2011-08-12 | 576.56
2011-08-15 | 580
2011-08-18 | 765.00
2011-08-21 | 790
2011-08-24 | 336.58
2011-08-27 | 114
2011-08-30 | 734.99
2011-09-02 | 205
2011-09-05 | 504.44
2011-09-08 | 728
2011-09-11 | 338.50
2011-09-14 | 854
2011-09-17 | 141.57
2011-09-20 | 388
2011-09-23 | 528.02
2011-09-26 | 881
2011-09-29 | 981.56
2011-10-02 | 9
2011-10-05 | 922.57
2011-10-08 | 975
2011-10-11 | 268.83
2011-10-14 | 511
2011-10-17 | 369.17
2011-10-20 | 627
2011-10-23 | 302.12
2011-10-26 | 851
2011-10-29 | 32.87
2011-10-31 | 321
2011-11-03 | 165.80
2011-11-06 | 679
2011-11-09 | 702.97
2011-11-12 | 362
2011-11-15 | 141.03
2011-11-18 | 718
2011-11-21 | 210.34
2011-11-24 | 333
2011-11-27 | 774.50
2011-11-30 | 277
2011-12-03 | 916.81
2011-12-06 | 695
2011-12-09 | 573.48
2011-12-12 | 365
2011-12-15 | 396.17
2011-12-18 | 882
2011-12-21 | 912.53
2011-12-24 | 711
2011-12-27 | 699.17
2011-12-30 | 363
2012-01-02 | 750.61
2012-01-05 | 634
2012-01-08 | 709.68
2012-01-11 | 521
2012-01-14 | 442.82
2012-01-17 | 103
2012-01-20 | 458.14
2012-01-23 | 868
2012-01-26 | 40.27
2012-01-29 | 520
2012-02-01 | 498.20
2012-02-04 | 101
2012-02-07 | 157.59
2012-02-10 | 725
2012-02-13 | 774.38
2012-02-16 | 699
2012-02-19 | 709.49
2012-02-22 | 486
2012-02-25 | 782.61
2012-02-28 | 291
2012-03-02 | 567.00
2012-03-05 | 249
2012-03-08 | 184.36
2012-03-11 | 845
2012-03-14 | 429.22
2012-03-17 | 250
2012-03-20 | 481.20
2012-03-23 | 778
2012-03-27 | 43.23
2012-03-30 | 183
2012-04-02 | 762.61
2012-04-05 | 455
2012-04-08 | 225.39
2012-04-11 | 501
2012-04-14 | 49.88
2012-04-17 | 200
2012-04-20 | 6.22
2012-04-23 | 60
2012-04-26 | 271.19
2012-04-29 | 851
2012-05-02 | 636.34
2012-05-05 | 291
2012-05-08 | 394.98
2012-05-11 | 84
2012-05-14 | 85.29
2012-05-17 | 264
2012-05-20 | 887.77
2012-05-23 | 273
2012-05-26 | 179.27
2012-05-29 | 54
2012-06-01 | 211.22
2012-06-04 | 319
2012-06-07 | 462.21
2012-06-10 | 555
2012-06-13 | 740.82
2012-06-16 | 41
2012-06-19 | 430.12
2012-06-22 | 487
2012-06-25 | 116.46
2012-06-28 | 968
2012-07-01 | 829.54
2012-07-04 | 670
2012-07-07 | 793.99
2012-07-10 | 16
2012-07-13 | 279.16
2012-07-16 | 762
2012-07-19 | 203.41
2012-07-22 | 437
2012-07-25 | 650.30
2012-07-28 | 579
2012-07-31 | 790.66
2012-08-03 | 551
2012-08-06 | 189.13
2012-08-09 | 790
2012-08-12 | 891.33
2012-08-15 | 297
2012-08-18 | 678.39
2012-08-21 | 251
2012-08-24 | 301.02
2012-08-27 | 311
2012-08-30 | 510.67
2012-09-02 | 512
2012-09-05 | 218.51
2012-09-08 | 284
2012-09-11 | 902.09
2012-09-14 | 26
2012-09-17 | 99.50
2012-09-20 | 658
2012-09-23 | 176.53
2012-09-26 | 444
2012-09-29 | 942.00
2012-10-02 | 273
2012-10-05 | 383.75
2012-10-08 | 945
2012-10-11 | 384.17
2012-10-14 | 468
2012-10-17 | 354.63
2012-10-20 | 936
2012-10-23 | 64.81
2012-10-26 | 249
2012-10-28 | 662.49
2012-10-31 | 623
2012-11-03 | 603.46
2012-11-06 | 585
2012-11-09 | 843.04
2012-11-12 | 877
2012-11-15 | 702.67
2012-11-18 | 581
2012-11-21 | 679.39
2012-11-24 | 535
2012-11-27 | 868.45
2012-11-30 | 283
2012-12-03 | 309.44
2012-12-06 | 823
2012-12-09 | 373.02
2012-12-12 | 101
2012-12-15 | 400.59
2012-12-18 | 784
2012-12-21 | 237.35
2012-12-24 | 426
2012-12-27 | 671.71
2012-12-30 | 759
2013-01-02 | 133.81
2013-01-05 | 811
2013-01-08 | 593.31
2013-01-11 | 725
2013-01-14 | 349.22
2013-01-17 | 217
2013-01-20 | 183.52
2013-01-23 | 977
2013-01-26 | 154.22
2013-01-29 | 218
2013-02-01 | 435.68
2013-02-04 | 27
2013-02-07 | 167.78
2013-02-10 | 704
2013-02-13 | 58.24
2013-02-16 | 782
2013-02-19 | 639.59
2013-02-22 | 616
2013-02-25 | 911.72
2013-02-28 | 26
2013-03-03 | 849.98
2013-03-06 | 454
2013-03-09 | 680.48
2013-03-12 | 14
2013-03-15 | 202.93
2013-03-18 | 818
2013-03-20 | 400
2013-03-21 | 166.19
2013-03-24 | 464
2013-03-27 | 977.72
2013-03-30 | 53
2013-04-03 | 725.07
2013-04-06 | 600
2013-04-09 | 84.86
2013-04-12 | 142
2013-04-15 | 297.92
2013-04-18 | 966
2013-04-21 | 673.76
2013-04-24 | 339
2013-04-27 | 764.37
2013-04-30 | 600
2013-05-03 | 847.01
2013-05-06 | 693
2013-05-09 | 216.84
2013-05-12 | 848
2013-05-15 | 333.86
2013-05-18 | 537
2013-05-21 | 159.01
2013-05-24 | 488
2013-05-27 | 406.01
2013-05-30 | 196
2013-06-02 | 587.89
2013-06-05 | 108
2013-06-08 | 4.57
2013-06-11 | 694
2013-06-14 | 316.72
2013-06-17 | 630
2013-06-20 | 553.72
2013-06-23 | 953
2013-06-26 | 984.58
2013-06-29 | 695
2013-07-02 | 633.30
2013-07-05 | 88
2013-07-08 | 612.68
2013-07-11 | 173
2013-07-14 | 323.36
2013-07-17 | 676
2013-07-20 | 728.75
2013-07-23 | 397
2013-07-26 | 719.50
2013-07-29 | 510
2013-08-01 | 573.58
2013-08-04 | 849
2013-08-07 | 864.54
2013-08-10 | 259
2013-08-13 | 105.86
2013-08-16 | 967
2013-08-19 | 105.15
2013-08-22 | 584
2013-08-25 | 103.39
2013-08-28 | 367
2013-08-31 | 648.54
2013-09-03 | 753
2013-09-06 | 882.89
2013-09-09 | 306
2013-09-12 | 918.87
2013-09-15 | 529
2013-09-18 | 846.37
2013-09-21 | 419
2013-09-24 | 200.18
2013-09-27 | 83
2013-09-30 | 331.63
2013-10-03 | 825
2013-10-06 | 904.38
2013-10-09 | 42
2013-10-12 | 982.99
2013-10-15 | 484
2013-10-18 | 686.27
2013-10-21 | 310
2013-10-24 | 198.01
2013-10-27 | 316
2013-10-29 | 685.02
2013-11-01 | 186
2013-11-04 | 37.76
2013-11-07 | 920
2013-11-10 | 1.32
2013-11-13 | 447
2013-11-16 | 307.65
2013-11-19 | 945
2013-11-22 | 659.65
2013-11-25 | 459
2013-11-28 | 516.02
2013-12-01 | 58
2013-12-04 | 247.17
2013-12-07 | 130
2013-12-10 | 735.84
2013-12-13 | 198
2013-12-16 | 573.16
2013-12-19 | 452
2013-12-22 | 427.32
2013-12-25 | 291
2013-12-28 | 712.60
2013-12-31 | 683
2014-01-03 | 766.62
2014-01-06 | 901
2014-01-09 | 10.34
2014-01-12 | 758
2014-01-15 | 12.88
2014-01-18 | 343
2014-01-21 | 741.05
2014-01-24 | 340
2014-01-27 | 44.73
2014-01-30 | 626
2014-02-02 | 302.84
2014-02-05 | 34
2014-02-08 | 256.27
2014-02-11 | 228
2014-02-14 | 122.28
2014-02-17 | 692
2014-02-20 | 634.50
2014-02-23 | 120
2014-02-26 | 610.54
2014-03-01 | 385
2014-03-04 | 979.32
2014-03-07 | 608
2014-03-10 | 876.13
2014-03-13 | 609
2014-03-16 | 921.93
2014-03-19 | 585
2014-03-22 | 190.51
2014-03-25 | 474
2014-03-28 | 591.87
2014-04-01 | 504
2014-04-04 | 553.18
2014-04-07 | 204
2014-04-10 | 544.71
2014-04-13 | 896
2014-04-16 | 92.36
2014-04-19 | 22
2014-04-22 | 818.89
2014-04-25 | 625
2014-04-28 | 458.74
2014-05-01 | 601
2014-05-04 | 807.78
2014-05-07 | 124
2014-05-10 | 796.70
2014-05-13 | 611
2014-05-16 | 969.04
2014-05-19 | 739
2014-05-22 | 387.34
2014-05-25 | 549
2014-05-28 | 256.61
2014-05-31 | 968
2014-06-03 | 530.02
2014-06-06 | 935
2014-06-09 | 556.80
2014-06-12 | 848
2014-06-15 | 787.03
2014-06-18 | 180
2014-06-21 | 360.54
2014-06-24 | 901
2014-06-27 | 297.22
2014-06-30 | 932
2014-07-03 | 338.60
2014-07-06 | 114
2014-07-09 | 450.81
2014-07-12 | 422
2014-07-15 | 497.66
2014-07-18 | 181
2014-07-21 | 845.43
2014-07-24 | 442
2014-07-27 | 107.68
2014-07-30 | 780
2014-08-02 | 139.13
2014-08-05 | 872
2014-08-08 | 677.15
2014-08-11 | 49
2014-08-14 | 81.10
2014-08-17 | 297
2014-08-20 | 775.64
2014-08-23 | 526
2014-08-26 | 741.30
2014-08-29 | 157
2014-09-01 | 700.02
2014-09-04 | 695
2014-09-07 | 711.43
2014-09-10 | 23
2014-09-13 | 578.75
2014-09-16 | 34
2014-09-19 | 868.26
2014-09-22 | 72
2014-09-25 | 683.66
2014-09-28 | 878
2014-10-01 | 64.47
2014-10-04 | 545
2014-10-07 | 485.63
2014-10-10 | 675
2014-10-13 | 1.96
2014-10-16 | 13
2014-10-19 | 160.79
2014-10-22 | 265
2014-10-25 | 411.58
2014-10-27 | 554
2014-10-30 | 92.87
2014-11-02 | 589
2014-11-05 | 582.36
2014-11-08 | 522
2014-11-11 | 178.51
2014-11-14 | 861
2014-11-17 | 226.15
2014-11-20 | 475
2014-11-23 | 601.58
2014-11-26 | 605
2014-11-29 | 649.88
2014-12-02 | 946
2014-12-05 | 101.64
2014-12-08 | 97
2014-12-11 | 184.62
2014-12-14 | 156
2014-12-17 | 674.07
2014-12-20 | 728
2014-12-23 | 937.64
2014-12-26 | 522
2014-12-29 | 45.56
2015-01-01 | 467
2015-01-04 | 880.27
2015-01-07 | 717
2015-01-10 | 253.01
2015-01-13 | 177
2015-01-16 | 536.90
2015-01-19 | 400
2015-01-22 | 147.20
2015-01-25 | 760
2015-01-28 | 528.37
2015-01-31 | 200
2015-02-03 | 642.94
2015-02-06 | 177
2015-02-09 | 510.64
2015-02-12 | 412
2015-02-15 | 112.96
2015-02-18 | 288
2015-02-21 | 149.54
2015-02-24 | 962
2015-02-27 | 428.89
2015-03-02 | 995
2015-03-05 | 80.04
2015-03-08 | 599
2015-03-11 | 709.65
2015-03-14 | 663
2015-03-17 | 989.51
2015-03-20 | 917
2015-03-23 | 55.43
2015-03-26 | 931
2015-03-30 | 288.29
2015-04-02 | 800
2015-04-05 | 186.69
2015-04-08 | 998
2015-04-11 | 181.60
2015-04-14 | 95
2015-04-17 | 119.44
2015-04-20 | 252
2015-04-23 | 223.20
2015-04-26 | 834
2015-04-29 | 777.25
2015-05-02 | 613
2015-05-05 | 913.61
2015-05-08 | 143
2015-05-11 | 691.56
2015-05-14 | 268
2015-05-17 | 239.31
2015-05-20 | 43
2015-05-23 | 739.06
2015-05-26 | 615
2015-05-29 | 575.92
2015-06-01 | 687
2015-06-04 | 252.92
2015-06-07 | 45
2015-06-10 | 748.58
2015-06-13 | 267
2015-06-16 | 630.02
2015-06-19 | 920
2015-06-22 | 681.05
2015-06-25 | 710
2015-06-28 | 46.61
2015-07-01 | 465
2015-07-04 | 493.79
2015-07-07 | 488
2015-07-10 | 751.82
2015-07-13 | 594
2015-07-16 | 534.87
2015-07-19 | 376
2015-07-22 | 907.19
2015-07-25 | 611
2015-07-28 | 437.35
2015-07-31 | 731
2015-08-03 | 947.28
2015-08-06 | 585
2015-08-09 | 907.34
2015-08-12 | 934
2015-08-15 | 897.06
2015-08-18 | 694
2015-08-21 | 609.05
2015-08-24 | 958
2015-08-27 | 222.16
2015-08-30 | 222
2015-09-02 | 241.36
2015-09-05 | 626
2015-09-08 | 311.40
2015-09-11 | 8
2015-09-14 | 586.96
2015-09-17 | 31
2015-09-20 | 835.44
2015-09-23 | 43
2015-09-26 | 110.21
2015-09-29 | 761
2015-10-02 | 866.15
2015-10-05 | 614
2015-10-08 | 448.58
2015-10-11 | 1000
2015-10-14 | 842.47
2015-10-17 | 841
2015-10-20 | 959.57
2015-10-23 | 359
2015-10-25 | 133.30
2015-10-28 | 747
2015-10-31 | 360.78
2015-11-03 | 261
2015-11-06 | 262.58
2015-11-09 | 981
2015-11-12 | 367.10
2015-11-15 | 27
2015-11-18 | 549.17
2015-11-21 | 156
2015-11-24 | 145.42
2015-11-27 | 384
2015-11-30 | 313.88
2015-12-03 | 378
2015-12-06 | 348.24
2015-12-09 | 979
2015-12-12 | 550.77
2015-12-15 | 854
2015-12-18 | 494.38
2015-12-21 | 612
2015-12-24 | 406.35
2015-12-27 | 708
2015-12-30 | 428.44
2016-01-02 | 352
2016-01-05 | 661.25
2016-01-08 | 999
2016-01-11 | 669.55
2016-01-14 | 356
2016-01-17 | 844.56
2016-01-20 | 699
2016-01-23 | 514.18
2016-01-26 | 253
2016-01-29 | 602.99
2016-02-01 | 880
2016-02-04 | 851.07
2016-02-07 | 188
2016-02-10 | 409.59
2016-02-13 | 617
2016-02-16 | 809.38
2016-02-19 | 157
2016-02-22 | 724.04
2016-02-25 | 231
2016-02-28 | 491.67
2016-03-02 | 141
2016-03-05 | 293.90
2016-03-08 | 276
2016-03-11 | 267.22
2016-03-14 | 601
2016-03-17 | 341.73
2016-03-20 | 347
2016-03-23 | 316.12
2016-03-26 | 332
2016-03-30 | 42.31
2016-04-02 | 185
2016-04-05 | 358.23
2016-04-08 | 319
2016-04-11 | 789.81
2016-04-14 | 716
2016-04-17 | 842.01
2016-04-20 | 209
2016-04-23 | 481.32
2016-04-26 | 669
2016-04-29 | 121.38
2016-05-02 | 233
2016-05-05 | 250.39
2016-05-08 | 148
2016-05-11 | 549.33
2016-05-14 | 948
2016-05-17 | 784.39
2016-05-20 | 60
2016-05-23 | 794.39
2016-05-26 | 949
2016-05-29 | 692.47
2016-06-01 | 632
2016-06-04 | 75.67
2016-06-07 | 786
2016-06-10 | 157.03
2016-06-13 | 327
2016-06-16 | 493.57
2016-06-19 | 688
2016-06-22 | 458.07
2016-06-25 | 367
2016-06-28 | 77.10
2016-07-01 | 329
2016-07-04 | 805.61
2016-07-07 | 704
2016-07-10 | 714.98
2016-07-13 | 795
2016-07-16 | 348.93
2016-07-19 | 721
2016-07-22 | 621.77
2016-07-25 | 120
2016-07-28 | 131.43
2016-07-31 | 205
2016-08-03 | 647.44
2016-08-06 | 242
2016-08-09 | 239.45
2016-08-12 | 63
2016-08-15 | 239.98
2016-08-18 | 994
2016-08-21 | 366.42
2016-08-24 | 100
2016-08-27 | 576.99
2016-08-30 | 788
2016-09-02 | 576.45
2016-09-05 | 716
2016-09-08 | 38.26
2016-09-11 | 11
2016-09-14 | 58.44
2016-09-17 | 698
2016-09-20 | 846.75
2016-09-23 | 699
2016-09-26 | 290.70
2016-09-29 | 478
2016-10-02 | 472.71
2016-10-05 | 16
2016-10-08 | 123.08
2016-10-11 | 44
2016-10-14 | 161.11
2016-10-17 | 199
2016-10-20 | 963.41
2016-10-23 | 463
2016-10-26 | 673.56
2016-10-29 | 79
2016-10-31 | 392.45
2016-11-03 | 385
2016-11-06 | 231.92
2016-11-09 | 53
2016-11-12 | 304.14
2016-11-15 | 198
2016-11-18 | 457.67
2016-11-21 | 377
2016-11-24 | 847.44
2016-11-27 | 476
2016-11-30 | 992.00
2016-12-03 | 942
2016-12-06 | 259.87
2016-12-09 | 241
2016-12-12 | 401.73
2016-12-15 | 298
2016-12-18 | 991.24
2016-12-21 | 102
2016-12-24 | 928.13
2016-12-27 | 543
2016-12-30 | 315.01
2017-01-02 | 750
2017-01-05 | 598.92
2017-01-08 | 797
2017-01-11 | 43.20
2017-01-14 | 399
2017-01-17 | 240.41
2017-01-20 | 486
2017-01-23 | 814.72
2017-01-26 | 764
2017-01-29 | 982.64
2017-02-01 | 281
2017-02-04 | 891.47
2017-02-07 | 820
2017-02-10 | 866.55
2017-02-13 | 570
2017-02-16 | 345.90
2017-02-19 | 139
2017-02-22 | 356.51
2017-02-25 | 591
2017-02-28 | 0.76
2017-03-03 | 855
2017-03-06 | 599.62
2017-03-09 | 923
2017-03-12 | 540.54
2017-03-15 | 380
2017-03-18 | 493.56
2017-03-21 | 815
2017-03-24 | 731.22
2017-03-28 | 842
2017-03-31 | 828.13
2017-04-03 | 7
2017-04-06 | 818.38
2017-04-09 | 833
2017-04-12 | 937.56
2017-04-15 | 21
2017-04-18 | 728.47
2017-04-21 | 469
2017-04-24 | 627.69
2017-04-27 | 634
2017-04-30 | 919.07
2017-05-03 | 960
2017-05-06 | 387.74
2017-05-09 | 153
2017-05-12 | 349.01
2017-05-15 | 822
2017-05-18 | 222.48
2017-05-21 | 382
2017-05-24 | 274.28
2017-05-27 | 678
2017-05-30 | 811.47
2017-06-02 | 651
2017-06-05 | 317.68
2017-06-08 | 60
2017-06-11 | 70.19
2017-06-14 | 110
2017-06-17 | 540.44
2017-06-20 | 976
2017-06-23 | 620.49
2017-06-26 | 563
2017-06-29 | 26.92
2017-07-02 | 92
2017-07-05 | 72.43
2017-07-08 | 438
2017-07-11 | 860.06
2017-07-14 | 273
2017-07-17 | 596.94
2017-07-20 | 204
2017-07-23 | 209.97
2017-07-26 | 819
2017-07-29 | 654.59
2017-08-01 | 389
2017-08-04 | 669.84
2017-08-07 | 275
2017-08-10 | 393.18
2017-08-13 | 624
2017-08-16 | 900.19
2017-08-19 | 817
2017-08-22 | 735.59
2017-08-25 | 577
2017-08-28 | 107.95
2017-08-31 | 262
2017-09-03 | 782.14
2017-09-06 | 434
2017-09-09 | 874.26
2017-09-12 | 549
2017-09-15 | 840.18
2017-09-18 | 619
2017-09-21 | 362.20
2017-09-24 | 47
2017-09-27 | 991.77
2017-09-30 | 780
2017-10-03 | 31.89
2017-10-06 | 448
2017-10-09 | 835.58
2017-10-12 | 674
2017-10-15 | 500.16
2017-10-18 | 90
2017-10-21 | 794.67
2017-10-24 | 484
2017-10-27 | 391.20
2017-10-29 | 479
2017-11-01 | 72.72
2017-11-04 | 261
2017-11-07 | 607.14
2017-11-10 | 468
2017-11-13 | 207.24
2017-11-16 | 651
2017-11-19 | 643.11
2017-11-22 | 14
2017-11-25 | 928.29
2017-11-28 | 786
2017-12-01 | 314.82
2017-12-04 | 687
2017-12-07 | 925.67
2017-12-10 | 267
2017-12-13 | 460.25
2017-12-16 | 138
2017-12-19 | 984.44
2017-12-22 | 414
2017-12-25 | 0.91
2017-12-28 | 556
2017-12-31 | 886.63
2018-01-03 | 588
2018-01-06 | 0.21
2018-01-09 | 711
2018-01-12 | 383.79
2018-01-15 | 221
2018-01-18 | 263.01
2018-01-21 | 595
2018-01-24 | 589.72
2018-01-27 | 335
2018-01-30 | 297.21
2018-02-02 | 799
2018-02-05 | 75.00
2018-02-08 | 766
2018-02-11 | 463.73
2018-02-14 | 703
2018-02-17 | 39.84
2018-02-20 | 996
2018-02-23 | 469.55
2018-02-26 | 317
2018-03-01 | 991.33
2018-03-04 | 500
2018-03-07 | 406.53
2018-03-10 | 45
2018-03-13 | 450.94
2018-03-16 | 763
2018-03-19 | 959.34
2018-03-22 | 984
2018-03-26 | 373.65
2018-03-29 | 681
2018-04-01 | 489.04
2018-04-04 | 407
2018-04-07 | 84.11
2018-04-10 | 894
2018-04-13 | 222.31
2018-04-16 | 927
2018-04-19 | 788.93
2018-04-22 | 689
2018-04-25 | 861.73
2018-04-28 | 462
2018-05-01 | 872.78
2018-05-04 | 529
2018-05-07 | 572.93
2018-05-10 | 547
2018-05-13 | 556.31
2018-05-16 | 913
2018-05-19 | 432.13
2018-05-22 | 691
2018-05-25 | 657.38
2018-05-28 | 246
2018-05-31 | 113.84
2018-06-03 | 490
2018-06-06 | 613.05
2018-06-09 | 617
2018-06-12 | 787.11
2018-06-15 | 923
2018-06-18 | 236.07
2018-06-21 | 905
2018-06-24 | 967.57
2018-06-27 | 809
2018-06-30 | 56.06
2018-07-03 | 444
2018-07-06 | 319.75
2018-07-09 | 714
2018-07-12 | 538.07
2018-07-15 | 536
2018-07-18 | 208.98
